time,assetName,headline,headlinePast1,headlinePast2,headlinePast3
2007-01-01,Fomento Economico Mexicano SAB de CV,Mexico's Femsa raises local beer prices,"China's Chery 2006 exports up 178 pct to 50,000-report",Commtouch Reports: ''Happy New Year!'' Virus Ends 2006 with a Blast <CTCH.O>,Benelux stocks - Factors to watch on Jan 2 Benelux stocks - Factors to watch on Jan 2 European stocks -- Factors to watch on Jan 2 European stocks -- Factors to watch on Jan 2
2007-01-02,Franklin Resources Inc,REG-FranklinResourcesInc <BEN.N> <BENq.L> Doc re. Proxy Materials,Mexico's Femsa raises local beer prices,"China's Chery 2006 exports up 178 pct to 50,000-report",Commtouch Reports: ''Happy New Year!'' Virus Ends 2006 with a Blast <CTCH.O>
2007-01-05,Franklin Resources Inc,REG-FranklinResourcesInc <BEN.N> <BENq.L> Doc re. Proxy Materials,REG-FranklinResourcesInc <BEN.N> <BENq.L> Doc re. Proxy Materials,Mexico's Femsa raises local beer prices,"China's Chery 2006 exports up 178 pct to 50,000-report"
2007-01-06,Franklin Resources Inc,REG-FranklinResourcesInc <BEN.N> <BENq.L> Doc re. Proxy Materials,REG-FranklinResourcesInc <BEN.N> <BENq.L> Doc re. Proxy Materials,REG-FranklinResourcesInc <BEN.N> <BENq.L> Doc re. Proxy Materials,Mexico's Femsa raises local beer prices
2007-01-01,General Electric Co,"Stiller, Smith achieve box office milestones",REG-FranklinResourcesInc <BEN.N> <BENq.L> Doc re. Proxy Materials,REG-FranklinResourcesInc <BEN.N> <BENq.L> Doc re. Proxy Materials,REG-FranklinResourcesInc <BEN.N> <BENq.L> Doc re. Proxy Materials
2007-01-01,Goldman Sachs Group Inc,BNP Paribas top 2006 M&A adviser in France -survey,"Stiller, Smith achieve box office milestones",REG-FranklinResourcesInc <BEN.N> <BENq.L> Doc re. Proxy Materials,REG-FranklinResourcesInc <BEN.N> <BENq.L> Doc re. Proxy Materials
2007-01-01,Google Inc,PRESS DIGEST - New York Times - Jan 1,BNP Paribas top 2006 M&A adviser in France -survey,"Stiller, Smith achieve box office milestones",REG-FranklinResourcesInc <BEN.N> <BENq.L> Doc re. Proxy Materials
2007-01-02,HSBC Holdings PLC,TABLE-HK short selling turnover HK$1.18 bln by lunch TABLE-HK short selling turnover HK$1.18 bln by lunch,PRESS DIGEST - New York Times - Jan 1,BNP Paribas top 2006 M&A adviser in France -survey,"Stiller, Smith achieve box office milestones"
2007-01-02,Honda Motor Co Ltd,"INDIA'S HERO HONDA <HROH.BO> DEC VEHICLE SALES 252,462  UNITS VS 245,104 YEAR AGO  India's Hero Honda Dec vehicle sales up 3 pct yr/yr",TABLE-HK short selling turnover HK$1.18 bln by lunch TABLE-HK short selling turnover HK$1.18 bln by lunch,PRESS DIGEST - New York Times - Jan 1,BNP Paribas top 2006 M&A adviser in France -survey
2007-01-02,Hutchison Telecommunications International Ltd,"PRESS DIGEST-Financial Times, Wall St Journal Asia editions","INDIA'S HERO HONDA <HROH.BO> DEC VEHICLE SALES 252,462  UNITS VS 245,104 YEAR AGO  India's Hero Honda Dec vehicle sales up 3 pct yr/yr",TABLE-HK short selling turnover HK$1.18 bln by lunch TABLE-HK short selling turnover HK$1.18 bln by lunch,PRESS DIGEST - New York Times - Jan 1
2007-01-02,Indosat Tbk PT,PRESS DIGEST-Indonesian Business News - Jan 2,"PRESS DIGEST-Financial Times, Wall St Journal Asia editions","INDIA'S HERO HONDA <HROH.BO> DEC VEHICLE SALES 252,462  UNITS VS 245,104 YEAR AGO  India's Hero Honda Dec vehicle sales up 3 pct yr/yr",TABLE-HK short selling turnover HK$1.18 bln by lunch TABLE-HK short selling turnover HK$1.18 bln by lunch
2007-01-01,Internet Gold Golden Lines Ltd,Internet Gold's Subsidiary Smile.Communications Completes Full Acquisition of 012... <IGLD.O> TEXT-Internet Gold completes 012 Golden Lines purchase,PRESS DIGEST-Indonesian Business News - Jan 2,"PRESS DIGEST-Financial Times, Wall St Journal Asia editions","INDIA'S HERO HONDA <HROH.BO> DEC VEHICLE SALES 252,462  UNITS VS 245,104 YEAR AGO  India's Hero Honda Dec vehicle sales up 3 pct yr/yr"
2007-01-02,Kookmin Bank,"Seoul stocks flat; Hyundai Motor up on outlook Korea Hot Stocks-LG Elec, LG.Philips, Banks, KEPCO Korea Hot Stocks-LG Elec, LG.Philips, Banks, KEPCO S.Korea Dec housing price growth slows vs Nov UPDATE 1-S.Korea house prices in Dec up 11.6 pct on year",Internet Gold's Subsidiary Smile.Communications Completes Full Acquisition of 012... <IGLD.O> TEXT-Internet Gold completes 012 Golden Lines purchase,PRESS DIGEST-Indonesian Business News - Jan 2,"PRESS DIGEST-Financial Times, Wall St Journal Asia editions"
2007-01-02,Korea Electric Power Corp,"Korea Hot Stocks-KEPCO up on S. Korea tariff hike Korea Hot Stocks-KEPCO up on S. Korea tariff hike Seoul stocks flat; Hyundai Motor up on outlook Seoul stocks flat; Hyundai Motor up on outlook Korea Hot Stocks-LG Elec, LG.Philips, Banks, KEPCO Korea Hot Stocks-LG Elec, LG.Philips, Banks, KEPCO Seoul stocks start 2007 flat, LG Elec jumps","Seoul stocks flat; Hyundai Motor up on outlook Korea Hot Stocks-LG Elec, LG.Philips, Banks, KEPCO Korea Hot Stocks-LG Elec, LG.Philips, Banks, KEPCO S.Korea Dec housing price growth slows vs Nov UPDATE 1-S.Korea house prices in Dec up 11.6 pct on year",Internet Gold's Subsidiary Smile.Communications Completes Full Acquisition of 012... <IGLD.O> TEXT-Internet Gold completes 012 Golden Lines purchase,PRESS DIGEST-Indonesian Business News - Jan 2
2007-01-02,LG Display Co Ltd,"Korea Hot Stocks-LG Elec, LG.Philips, Banks, KEPCO Seoul stocks start 2007 flat, LG Elec jumps Seoul stocks start 2007 flat, LG Elec jumps","Korea Hot Stocks-KEPCO up on S. Korea tariff hike Korea Hot Stocks-KEPCO up on S. Korea tariff hike Seoul stocks flat; Hyundai Motor up on outlook Seoul stocks flat; Hyundai Motor up on outlook Korea Hot Stocks-LG Elec, LG.Philips, Banks, KEPCO Korea Hot Stocks-LG Elec, LG.Philips, Banks, KEPCO Seoul stocks start 2007 flat, LG Elec jumps","Seoul stocks flat; Hyundai Motor up on outlook Korea Hot Stocks-LG Elec, LG.Philips, Banks, KEPCO Korea Hot Stocks-LG Elec, LG.Philips, Banks, KEPCO S.Korea Dec housing price growth slows vs Nov UPDATE 1-S.Korea house prices in Dec up 11.6 pct on year",Internet Gold's Subsidiary Smile.Communications Completes Full Acquisition of 012... <IGLD.O> TEXT-Internet Gold completes 012 Golden Lines purchase
2007-01-01,Merrill Lynch & Co Inc,BNP Paribas top 2006 M&A adviser in France -survey,"Korea Hot Stocks-LG Elec, LG.Philips, Banks, KEPCO Seoul stocks start 2007 flat, LG Elec jumps Seoul stocks start 2007 flat, LG Elec jumps","Korea Hot Stocks-KEPCO up on S. Korea tariff hike Korea Hot Stocks-KEPCO up on S. Korea tariff hike Seoul stocks flat; Hyundai Motor up on outlook Seoul stocks flat; Hyundai Motor up on outlook Korea Hot Stocks-LG Elec, LG.Philips, Banks, KEPCO Korea Hot Stocks-LG Elec, LG.Philips, Banks, KEPCO Seoul stocks start 2007 flat, LG Elec jumps","Seoul stocks flat; Hyundai Motor up on outlook Korea Hot Stocks-LG Elec, LG.Philips, Banks, KEPCO Korea Hot Stocks-LG Elec, LG.Philips, Banks, KEPCO S.Korea Dec housing price growth slows vs Nov UPDATE 1-S.Korea house prices in Dec up 11.6 pct on year"
2007-01-02,Metso Oyj,TABLE-Finnish shares closing in the U.S. - Dec 29,BNP Paribas top 2006 M&A adviser in France -survey,"Korea Hot Stocks-LG Elec, LG.Philips, Banks, KEPCO Seoul stocks start 2007 flat, LG Elec jumps Seoul stocks start 2007 flat, LG Elec jumps","Korea Hot Stocks-KEPCO up on S. Korea tariff hike Korea Hot Stocks-KEPCO up on S. Korea tariff hike Seoul stocks flat; Hyundai Motor up on outlook Seoul stocks flat; Hyundai Motor up on outlook Korea Hot Stocks-LG Elec, LG.Philips, Banks, KEPCO Korea Hot Stocks-LG Elec, LG.Philips, Banks, KEPCO Seoul stocks start 2007 flat, LG Elec jumps"
2007-01-01,Microsoft Corp,PRESS DIGEST - New York Times - Jan 1 Seoul antitrust body forms team on Qualcomm-report,TABLE-Finnish shares closing in the U.S. - Dec 29,BNP Paribas top 2006 M&A adviser in France -survey,"Korea Hot Stocks-LG Elec, LG.Philips, Banks, KEPCO Seoul stocks start 2007 flat, LG Elec jumps Seoul stocks start 2007 flat, LG Elec jumps"
2007-01-01,Monsanto Co,RPT-Wall St Week Ahead: Mild jobs may lift stocks as '07 starts,PRESS DIGEST - New York Times - Jan 1 Seoul antitrust body forms team on Qualcomm-report,TABLE-Finnish shares closing in the U.S. - Dec 29,BNP Paribas top 2006 M&A adviser in France -survey
2007-01-02,Nasdaq Inc,PRESS DIGEST - Financial Times - Jan 2,RPT-Wall St Week Ahead: Mild jobs may lift stocks as '07 starts,PRESS DIGEST - New York Times - Jan 1 Seoul antitrust body forms team on Qualcomm-report,TABLE-Finnish shares closing in the U.S. - Dec 29
2007-01-02,National Grid PLC,REG-National Grid PLC <NG.L> Total Voting Rights REG-National Grid PLC <NG.L> Sharesave Grant,PRESS DIGEST - Financial Times - Jan 2,RPT-Wall St Week Ahead: Mild jobs may lift stocks as '07 starts,PRESS DIGEST - New York Times - Jan 1 Seoul antitrust body forms team on Qualcomm-report
2007-01-02,Nokia Oyj,TABLE-Finnish shares closing in the U.S. - Dec 29 Nokia New Year's Eve Celebrates the Start of 2007 in Global Style,REG-National Grid PLC <NG.L> Total Voting Rights REG-National Grid PLC <NG.L> Sharesave Grant,PRESS DIGEST - Financial Times - Jan 2,RPT-Wall St Week Ahead: Mild jobs may lift stocks as '07 starts
2007-01-01,PetroChina Co Ltd,China's Daqing pumps 43.41 mln tonnes of oil in 06,TABLE-Finnish shares closing in the U.S. - Dec 29 Nokia New Year's Eve Celebrates the Start of 2007 in Global Style,REG-National Grid PLC <NG.L> Total Voting Rights REG-National Grid PLC <NG.L> Sharesave Grant,PRESS DIGEST - Financial Times - Jan 2
2007-01-01,Qualcomm Inc,Seoul antitrust body forms team on Qualcomm-report,China's Daqing pumps 43.41 mln tonnes of oil in 06,TABLE-Finnish shares closing in the U.S. - Dec 29 Nokia New Year's Eve Celebrates the Start of 2007 in Global Style,REG-National Grid PLC <NG.L> Total Voting Rights REG-National Grid PLC <NG.L> Sharesave Grant
2007-01-01,Rite Aid Corp,Rite Aid Can Help You Realize Your New Year's Weight Loss Resolution <RAD.N>,Seoul antitrust body forms team on Qualcomm-report,China's Daqing pumps 43.41 mln tonnes of oil in 06,TABLE-Finnish shares closing in the U.S. - Dec 29 Nokia New Year's Eve Celebrates the Start of 2007 in Global Style
2007-01-02,Royal Bank of Scotland Group PLC,PRESS DIGEST - British business - Jan 2 PRESS DIGEST - British business - Jan 1 PRESS DIGEST - Financial Times - Jan 2,Rite Aid Can Help You Realize Your New Year's Weight Loss Resolution <RAD.N>,Seoul antitrust body forms team on Qualcomm-report,China's Daqing pumps 43.41 mln tonnes of oil in 06
2007-01-01,Ryanair Holdings PLC,"UPDATE 1-AirAsia no comment on easyJet, Virgin tie-up report",PRESS DIGEST - British business - Jan 2 PRESS DIGEST - British business - Jan 1 PRESS DIGEST - Financial Times - Jan 2,Rite Aid Can Help You Realize Your New Year's Weight Loss Resolution <RAD.N>,Seoul antitrust body forms team on Qualcomm-report
2007-01-02,Ryanair Holdings PLC,UPDATE 1-AirAsia to announce new service on Friday,"UPDATE 1-AirAsia no comment on easyJet, Virgin tie-up report",PRESS DIGEST - British business - Jan 2 PRESS DIGEST - British business - Jan 1 PRESS DIGEST - Financial Times - Jan 2,Rite Aid Can Help You Realize Your New Year's Weight Loss Resolution <RAD.N>
2007-01-02,Sanofi SA,Sanofi head criticises generic drug makers - FT French stocks - Factors to watch on Jan 2,UPDATE 1-AirAsia to announce new service on Friday,"UPDATE 1-AirAsia no comment on easyJet, Virgin tie-up report",PRESS DIGEST - British business - Jan 2 PRESS DIGEST - British business - Jan 1 PRESS DIGEST - Financial Times - Jan 2
2007-01-01,Siebert Financial Corp,RPT-Wall St Week Ahead: Mild jobs may lift stocks as '07 starts,Sanofi head criticises generic drug makers - FT French stocks - Factors to watch on Jan 2,UPDATE 1-AirAsia to announce new service on Friday,"UPDATE 1-AirAsia no comment on easyJet, Virgin tie-up report"
2007-01-01,Siemens AG,Talks to save BenQ Mobile Germany fail,RPT-Wall St Week Ahead: Mild jobs may lift stocks as '07 starts,Sanofi head criticises generic drug makers - FT French stocks - Factors to watch on Jan 2,UPDATE 1-AirAsia to announce new service on Friday
2007-01-01,Sirius XM Radio Inc,PRESS DIGEST - New York Times - Jan 1,Talks to save BenQ Mobile Germany fail,RPT-Wall St Week Ahead: Mild jobs may lift stocks as '07 starts,Sanofi head criticises generic drug makers - FT French stocks - Factors to watch on Jan 2
2007-01-01,Sony Corp,"Stiller, Smith achieve box office milestones",PRESS DIGEST - New York Times - Jan 1,Talks to save BenQ Mobile Germany fail,RPT-Wall St Week Ahead: Mild jobs may lift stocks as '07 starts
2007-01-02,Taiwan Semiconductor Manufacturing Co Ltd,"Taiwan stocks - Factors to watch Taiwan stocks open up, techs gain on China opening TSMC plans five new 12-inch wafer plants -paper UPDATE 1-TSMC plans five new advanced wafer plants -paper","Stiller, Smith achieve box office milestones",PRESS DIGEST - New York Times - Jan 1,Talks to save BenQ Mobile Germany fail
2007-01-01,Tenet Healthcare Corp,Tenet Completes Sale of Alvarado Hospital Medical Center <THC.N>,"Taiwan stocks - Factors to watch Taiwan stocks open up, techs gain on China opening TSMC plans five new 12-inch wafer plants -paper UPDATE 1-TSMC plans five new advanced wafer plants -paper","Stiller, Smith achieve box office milestones",PRESS DIGEST - New York Times - Jan 1
2007-01-01,Time Warner Inc,"Stiller, Smith achieve box office milestones",Tenet Completes Sale of Alvarado Hospital Medical Center <THC.N>,"Taiwan stocks - Factors to watch Taiwan stocks open up, techs gain on China opening TSMC plans five new 12-inch wafer plants -paper UPDATE 1-TSMC plans five new advanced wafer plants -paper","Stiller, Smith achieve box office milestones"
2007-01-02,Titanium Metals Corp,Vallourec ups stake in Valtimet joint venture,"Stiller, Smith achieve box office milestones",Tenet Completes Sale of Alvarado Hospital Medical Center <THC.N>,"Taiwan stocks - Factors to watch Taiwan stocks open up, techs gain on China opening TSMC plans five new 12-inch wafer plants -paper UPDATE 1-TSMC plans five new advanced wafer plants -paper"
2007-01-01,Travelers Companies Inc,"FEATURE-In kidnapping, finesse works best FEATURE-In kidnapping, finesse works best FEATURE-In kidnapping, finesse works best",Vallourec ups stake in Valtimet joint venture,"Stiller, Smith achieve box office milestones",Tenet Completes Sale of Alvarado Hospital Medical Center <THC.N>
2007-01-01,Twenty-First Century Fox Inc,"Stiller, Smith achieve box office milestones PRESS DIGEST-Australian Business News - Jan 2 PRESS DIGEST-Australian Business News - Jan 2","FEATURE-In kidnapping, finesse works best FEATURE-In kidnapping, finesse works best FEATURE-In kidnapping, finesse works best",Vallourec ups stake in Valtimet joint venture,"Stiller, Smith achieve box office milestones"
2007-01-02,UPM-Kymmene Oyj,TABLE-Finnish shares closing in the U.S. - Dec 29,"Stiller, Smith achieve box office milestones PRESS DIGEST-Australian Business News - Jan 2 PRESS DIGEST-Australian Business News - Jan 2","FEATURE-In kidnapping, finesse works best FEATURE-In kidnapping, finesse works best FEATURE-In kidnapping, finesse works best",Vallourec ups stake in Valtimet joint venture
2007-01-01,Viacom Inc,"Stiller, Smith achieve box office milestones",TABLE-Finnish shares closing in the U.S. - Dec 29,"Stiller, Smith achieve box office milestones PRESS DIGEST-Australian Business News - Jan 2 PRESS DIGEST-Australian Business News - Jan 2","FEATURE-In kidnapping, finesse works best FEATURE-In kidnapping, finesse works best FEATURE-In kidnapping, finesse works best"
2007-01-01,Wal-Mart Stores Inc,PRESS DIGEST - Wall Street Journal - Jan 1,"Stiller, Smith achieve box office milestones",TABLE-Finnish shares closing in the U.S. - Dec 29,"Stiller, Smith achieve box office milestones PRESS DIGEST-Australian Business News - Jan 2 PRESS DIGEST-Australian Business News - Jan 2"
2007-01-01,Walt Disney Co,PRESS DIGEST - New York Times - Jan 1,PRESS DIGEST - Wall Street Journal - Jan 1,"Stiller, Smith achieve box office milestones",TABLE-Finnish shares closing in the U.S. - Dec 29
2007-01-02,Willis Towers Watson PLC,Willis Re Issues Annual Reinsurance Renewals Review <WSH.N>,PRESS DIGEST - New York Times - Jan 1,PRESS DIGEST - Wall Street Journal - Jan 1,"Stiller, Smith achieve box office milestones"
2007-01-02,Woori Finance Holdings Co Ltd,"Seoul stocks flat; Hyundai Motor up on outlook Korea Hot Stocks-LG Elec, LG.Philips, Banks, KEPCO Korea Hot Stocks-LG Elec, LG.Philips, Banks, KEPCO",Willis Re Issues Annual Reinsurance Renewals Review <WSH.N>,PRESS DIGEST - New York Times - Jan 1,PRESS DIGEST - Wall Street Journal - Jan 1
2007-01-01,XM Satellite Radio Holdings Inc,PRESS DIGEST - New York Times - Jan 1,"Seoul stocks flat; Hyundai Motor up on outlook Korea Hot Stocks-LG Elec, LG.Philips, Banks, KEPCO Korea Hot Stocks-LG Elec, LG.Philips, Banks, KEPCO",Willis Re Issues Annual Reinsurance Renewals Review <WSH.N>,PRESS DIGEST - New York Times - Jan 1
2007-01-01,Yahoo! Inc,PRESS DIGEST - New York Times - Jan 1,PRESS DIGEST - New York Times - Jan 1,"Seoul stocks flat; Hyundai Motor up on outlook Korea Hot Stocks-LG Elec, LG.Philips, Banks, KEPCO Korea Hot Stocks-LG Elec, LG.Philips, Banks, KEPCO",Willis Re Issues Annual Reinsurance Renewals Review <WSH.N>
